subject,heog_slope_uv_per_deg,heog_r,heog_p,veog_slope_uv_per_deg,veog_r,veog_p
S1,-0.8191407662462883,-0.9853997281906568,7.695822273951177e-06,-1.901370057252913,-0.9744803327195827,0.0048750255928975425
S2,-1.589405523730689,-0.9890556522183891,3.250409050575759e-06,-2.037950629332524,-0.9005187961512597,0.037098499768254634
S3,-2.256490163620273,-0.832419090689015,0.010336384638223148,-2.0690537874604633,-0.7880973334987772,0.11329963749679814
S4,-0.8131367421729839,-0.9975721280795251,3.571298742933016e-08,0.16298683123347513,0.8139741056686457,0.09358110896553726
S5,-1.3034481661036925,-0.9861446936482259,6.580584493233958e-06,-2.4754188098233065,-0.9401358563717899,0.01742389804601609
S6,-0.850961594038367,-0.9668079870573545,8.915920811872602e-05,-1.6180050546858324,-0.9780849862347256,0.003881625902684526
S7,-1.3895739179451039,-0.9693802179337092,7.013244781887549e-05,-3.423951723787443,-0.968347734158665,0.006727726094528217
S8,-1.2393923695062512,-0.9432512724799014,0.00043766147589867403,-0.8504767598972881,-0.5202736857396123,0.3688011044424701
S9,-2.250670369964314,-0.9806021651480215,1.7982909726142377e-05,-2.1292860566135086,-0.9071199721283092,0.03350212820327379
S10,-1.2230273691542057,-0.9945031646399316,4.13510020528607e-07,-2.225769600831837,-0.9946896588974703,0.00046416377644222727
S11,-2.687967529202403,-0.8938020328691519,0.0027608314940450094,-1.4047203099419345,-0.7941955844612912,0.10855069322193346
S12,-0.9664615280269312,-0.9537938032696678,0.00023815924231364115,-0.7674908792231969,-0.6930764600947654,0.19444552575531596
S13,-1.5907572848887812,-0.9849638163752574,8.403154400808518e-06,-1.8278140103855585,-0.9697319622991611,0.0062925778309081805
S14,-2.667162542795281,-0.8734453507086062,0.004598481670822478,-1.9422168206730361,-0.8365329970303045,0.07736289376878695
S15,-1.5543438418454205,-0.9921533363701703,1.200703504667367e-06,-1.178330317774219,-0.8539903983634458,0.0654874478103846
S16,-2.5093652344459763,-0.6889611084298801,0.05877118651942403,-2.9873769558471763,-0.7174518301010193,0.17244510049072673
S17,-1.3620929247062303,-0.9713909721411336,5.729065816256295e-05,-2.9960133291321362,-0.8890195294909645,0.04363536762949852
S18,-1.4432312080027188,-0.965244099443944,0.00010224346335393808,-0.723729344880923,-0.8827528761438221,0.04733669299883919
S19,-3.0003210472925743,-0.9919221828095397,1.3097464514385977e-06,-2.2724757827504525,-0.7076166582902892,0.18123122872508948
S20,-0.879107954205926,-0.9726749580756948,4.996655094526958e-05,-2.5861339976427478,-0.96504616576353,0.007803435933326668
S21,-1.351878173831588,-0.990676465982183,2.0120550245666613e-06,0.026721663836591678,0.020471535968317384,0.9739366515597567
S22,-1.0686955617991958,-0.9422699917802818,0.0004604141354143982,-2.106551385110773,-0.9060757694139319,0.03406317909174824
S23,-1.538003391292863,-0.9689770734830618,7.291691070933853e-05,-1.7938796776745216,-0.7755569166948559,0.12325452637630574
S24,-1.7488898329557425,-0.988811734927459,3.4719770543017275e-06,-0.791745413501369,-0.8421479347589096,0.07347662490064881
S25,-1.516976695151543,-0.9823275124424009,1.3616293196721052e-05,-1.9259436388907172,-0.9714475082665854,0.0057667492424805416
S26,-1.5555246942201273,-0.9782834485360287,2.5189065245826275e-05,-1.5648074905185239,-0.9575487625890584,0.010432405470411214
S27,-1.4254326063144283,-0.9223339648212423,0.0011040438338615576,-0.35294349350953075,-0.27185414312860134,0.6581766174328584
S28,-3.099829434725654,-0.9857355007677233,7.178797777575135e-06,-1.5267223547030693,-0.6456223307780999,0.23932094698361225
S29,-2.0387451304367423,-0.9588131904617796,0.0001693173664407612,-2.0244406710505674,-0.8491621006357448,0.06871015669491805
S30,-0.7254143479269556,-0.9608919047910522,0.00014518232962734576,-1.6653258480627788,-0.9556944054774505,0.011120241813468773
S31,-0.9290665603337991,-0.9155698608926935,0.0014109708790580164,-0.6891746375740293,-0.5345294448800537,0.35337997562934265
S32,-1.3109956784389707,-0.9303213824560428,0.0008021615938671037,0.33176942678811466,0.3121790275652728,0.6090752412543752
S33,-0.8301564303726897,-0.9943264974648034,4.5461520114477655e-07,-0.7679915501875602,-0.869014397557816,0.055775930013873105
S34,-0.6504197522124615,-0.8335572525318149,0.010136389166780304,-0.7380117180196915,-0.5476611296050342,0.3393194896440846
S35,-2.0823612670606004,-0.9472777628275433,0.0003520371650544177,-0.07737391671524496,-0.08547705715973364,0.8912999042532135
